epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1808.22,1.48379,2.86345,1.78703,0.49231,0.44312,0.40436,0.18586,1.7021,2.82631,2.10362,0.000554037,0.000554037,0.000554037
2,3499.28,1.6575,2.33386,1.93818,0.52193,0.41072,0.41099,0.17847,1.84008,2.32441,2.15679,0.000999843,0.000999843,0.000999843
3,5004.88,1.70373,2.0669,1.96332,0.47734,0.44398,0.4194,0.19737,1.73848,2.3466,2.12509,0.00133563,0.00133563,0.00133563
4,6311.76,1.63053,1.88545,1.90492,0.75943,0.45476,0.56457,0.29369,1.64766,1.84206,1.95604,0.0011719,0.0011719,0.0011719
5,7695.23,1.53589,1.66871,1.8042,0.72709,0.5088,0.58213,0.31153,1.63546,1.69951,1.96709,0.00100687,0.00100687,0.00100687
6,9143.26,1.45914,1.50523,1.73112,0.75791,0.62103,0.67937,0.3726,1.50236,1.48031,1.81257,0.000841835,0.000841835,0.000841835
7,10619.1,1.37745,1.36035,1.65397,0.79094,0.6524,0.72135,0.42121,1.42719,1.28755,1.74787,0.000676802,0.000676802,0.000676802
8,12063.7,1.30345,1.22972,1.60064,0.77041,0.65433,0.72767,0.45087,1.354,1.24948,1.66502,0.000511769,0.000511769,0.000511769
9,13842.9,1.2364,1.11771,1.52918,0.81185,0.67652,0.76801,0.47061,1.34978,1.14319,1.66145,0.000346736,0.000346736,0.000346736
10,15626,1.1753,1.01896,1.47567,0.79938,0.74312,0.79654,0.50154,1.31473,1.04027,1.63218,0.000181703,0.000181703,0.000181703
